group,file,src,n,entropy,coverage,complete_turns,turns_cw,turns_ccw,net_turns,filter_mode,keep
2molino,/mnt/disk1/rec_results_v3/2molino/rec141_ORI_V4_FIRST30_MASK_20260724_134727/hdMetrics_20260724_134727.mat,/mnt/disk1/rec_results_v3/2molino/rec141_ORI_V4_FIRST30_MASK_20260724_134727/rec141_molino_7d_tf_1shock_video148DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,914276,0.824284632552379,1,2,0,2,2.1884704134114,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec142_ORI_V4_FIRST30_MASK_20260724_135048/hdMetrics_20260724_135048.mat,/mnt/disk1/rec_results_v3/2molino/rec142_ORI_V4_FIRST30_MASK_20260724_135048/rec142_molino_7d_tf_1shock_video149DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,914276,0.879303666681499,0.972222222222222,1,1,0,-1.13130561492971,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec143_ORI_V4_FIRST30_MASK_20260724_135331/hdMetrics_20260724_135331.mat,/mnt/disk1/rec_results_v3/2molino/rec143_ORI_V4_FIRST30_MASK_20260724_135331/rec143_molino_7d_tf_1shock_video150DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,914393,0.943310114085849,1,2,0,2,2.90589281117332,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec23_ORI_V4_FIRST30_MASK_20260724_111328/hdMetrics_20260724_111328.mat,/mnt/disk1/rec_results_v3/2molino/rec23_ORI_V4_FIRST30_MASK_20260724_111328/rec23_molino_tf_7d__rec23_video009DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,462908,0.978310771467013,1,21,21,0,-21.005466777523,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec25_ORI_V4_FIRST30_MASK_20260724_112103/hdMetrics_20260724_112103.mat,/mnt/disk1/rec_results_v3/2molino/rec25_ORI_V4_FIRST30_MASK_20260724_112103/rec25_molino_tf_7d_rec25_video011DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464535,0.924727541205018,1,1,1,0,-1.84771366002635,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec26_ORI_V4_FIRST30_MASK_20260724_112703/hdMetrics_20260724_112703.mat,/mnt/disk1/rec_results_v3/2molino/rec26_ORI_V4_FIRST30_MASK_20260724_112703/rec26_molino_tf_7d_rec26_video012DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,392574,0.728030720289457,0.916666666666667,1,0,1,1.01849068514025,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec49_ORI_V4_FIRST30_MASK_20260724_112933/hdMetrics_20260724_112933.mat,/mnt/disk1/rec_results_v3/2molino/rec49_ORI_V4_FIRST30_MASK_20260724_112933/rec49_molino_tf_8d_rec49_video003DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464449,0.934423760083707,1,2,0,2,2.53187090275755,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec77_ORI_V4_FIRST30_MASK_20260724_113142/hdMetrics_20260724_113142.mat,/mnt/disk1/rec_results_v3/2molino/rec77_ORI_V4_FIRST30_MASK_20260724_113142/rec77_molino_tf_7d_video062DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464953,0.726903289088473,0.722222222222222,1,1,0,-1.6874595700998,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec80_ORI_V4_FIRST30_MASK_20260724_113356/hdMetrics_20260724_113356.mat,/mnt/disk1/rec_results_v3/2molino/rec80_ORI_V4_FIRST30_MASK_20260724_113356/rec80_molino_tf_7d_video065DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464827,0.923007687163001,1,2,0,2,2.04461089725885,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec82_ORI_V4_FIRST30_MASK_20260724_113737/hdMetrics_20260724_113737.mat,/mnt/disk1/rec_results_v3/2molino/rec82_ORI_V4_FIRST30_MASK_20260724_113737/rec82_molino_tf_7d_video067DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464185,0.944081006580166,1,3,0,3,3.77310376573591,complete_turns,1
3pachon,/mnt/disk1/rec_results_v3/3pachon/rec05_ORI_V4_FIRST30_MASK_20260724_113945/hdMetrics_20260724_113945.mat,/mnt/disk1/rec_results_v3/3pachon/rec05_ORI_V4_FIRST30_MASK_20260724_113945/rec05_pachon_tf_7d_rec05_video021DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,463323,0.881789679400356,1,3,3,0,-3.72523875483684,complete_turns,1
3pachon,/mnt/disk1/rec_results_v3/3pachon/rec06_ORI_V4_FIRST30_MASK_20260724_114136/hdMetrics_20260724_114136.mat,/mnt/disk1/rec_results_v3/3pachon/rec06_ORI_V4_FIRST30_MASK_20260724_114136/rec06_pachon_tf_7d_rec06_video022_output_rotadoDLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,463881,0.843089769368208,0.972222222222222,1,0,1,1.25456937430209,complete_turns,1
3pachon,/mnt/disk1/rec_results_v3/3pachon/rec07_ORI_V4_FIRST30_MASK_20260724_115018/hdMetrics_20260724_115018.mat,/mnt/disk1/rec_results_v3/3pachon/rec07_ORI_V4_FIRST30_MASK_20260724_115018/rec07_pachon_tf_8d__rec07_video023DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,614219,0.910674460655615,1,9,0,9,9.47107474366328,complete_turns,1
3pachon,/mnt/disk1/rec_results_v3/3pachon/rec109_ORI_V4_FIRST30_MASK_20260724_135743/hdMetrics_20260724_135743.mat,/mnt/disk1/rec_results_v3/3pachon/rec109_ORI_V4_FIRST30_MASK_20260724_135743/rec109_pachon_6d_tf_shocks_video102DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,913981,0.955760443525192,1,12,0,12,12.6767960507044,complete_turns,1
